Text,Label,Subclass
तुमचं बोलणं हास्यास्पद आहे.,1,1
तुम्ही एकदम लहान बुद्धीचे आहात.,1,1
तुम्ही मला काहीही सांगू शकत नाही.,1,3
तुमच्या कडून काहीही अपेक्षित नाही.,1,3
तुम्हाला काहीही कामाचं समजत नाही.,1,4
"महिलांची खरी जागा घरात आहे, बाहेर नाही.",1,4
परकियांना आपल्या देशात येऊ द्यायचं नाही.,1,4
तुम्ही खरंच किती बेकार आहात.,1,1
तुमच्या सारख्या लोकांनी फक्त अपमान करण्यासाठी जगले.,1,3
तुमचं वर्तन फक्त अकारण आहे.,1,4
"तुम्ही विचार करणे थांबवले, नंतर फक्त बोलले.",1,1
तुमचं अस्तित्व धिक्कारायोग्य आहे.,1,1
तुमच्या वागणुकीचा खूप दुष्परिणाम होतो.,1,3
तुमचं काहीही विचार नसताना बोलणे हास्यास्पद आहे.,1,4
तुमचं काहीही ज्ञान नाही.,1,1
तुमच्या विचारांनी समाजाचे नुकसान होईल.,1,1
तुमच्यासारख्या लोकांमुळेच समस्या निर्माण होतात.,1,3
तुम्हाला अजिबात योग्य असं वागायला येत नाही.,1,4
तुम्ही कमी वयाचे आहात आणि उगाच बोलत आहात.,1,1
तुमचं वर्तन अजूनही चुकत आहे.,1,1
तुमचं अस्तित्व म्हणजे एक कलंक आहे.,1,3
तुमचं वागणं सर्वांत हास्यास्पद आहे.,1,4
"तुम्हाला समजत नाही का, तुमचं बोलणं हास्यास्पद आहे.",1,1
तुमचं अस्तित्व सगळं काही कमी करणारं आहे.,1,1
तुमचं वर्तन नेहमीच अपमानजनक आहे.,1,3
तुम्ही सामान्य लोकांमध्ये गंडलेले आहात.,1,4
"""@BhatkhalkarA तुझी लायकी काय तू बोलतो कोणा बदल काय लाज लज्जा आहे की नाही""",1,1
"""@abpmajhatv खांडक्या, विघानसभेत अजितदादा काय बोलले तेवढच दाखवतो भाडखाउ""",1,3
"""टोपीवाला आणि माकडं यांची गोष्ट माहीत असेल, शेवटी दोघंही खुश असतात""",0,0
"""@ROHANM1508 प्रकाश आंबेडकर यांना हाच प्रश्न विचारला तेव्हा""",0,0
"""@LoksattaLive @YouTube गांधी, ठाकरे, पवार या नावाचे लेबल येवढेच""",1,1
"""@meNeeleshNRane तो काळतोंड्या विनायक राऊत आहे""",1,3
"""@meNeeleshNRane आरे पनवती तुम्ही ज्या पक्षात गेले""",0,0
"""बापाला भी रोज चुतिया च बोलत असशील घरात...""",1,1
"""@TV9Marathi त्या भडव्यांना कुणी सांगितलं होतं रस्स्यावर यायला ...""",1,1
"""विचार करा रे गाढवांनो, किती दिवस, नुसतं देव देव करत बसणार.""",0,0
"""@9900Vikram भिकारचोट आहे ...काहीही बरळाताय..""",1,1
"""बातमी च हेडलाइन मागे साक्षर लोक असंणें किव्हा नाही""",0,0
"""@JainDenesh अहो दिनेश भाऊ हा चुतिया आहे..""",1,1
"""@CricWick फुकट का ज्ञान चोदणे का नही""",1,1
"""@mumbaitak @nawabmalikncp @NCPspeaks Yz कबाब मलिक या एडझव्या ला""",1,1
"""@AvadhootGupte @mrhasanmushrif व्वा मुश्रीफ तुम्हाला आम्ही चांगला नेता समजत होतो""",1,1
"""@Anand_Dasa88 @itsamchimumbai हा स्वतः पण छपरी आहे""",1,1
"""@Manoj93Rane एका आडनावावर पोसलेल्या बिनडोक बांडगूळांच्या टोळक्याला""",1,1
"""@abpmajhatv @ShelarAshish #स्क्रिप्ट लिहिली जात आहे...""",1,1
"""@Rohan37955573 @YatikY @CMOMaharashtra चुत्यानंद मोदीच्या घरातले नाही""",1,1
"""@_PJ_Queen @rightwing92 रडके आहे तुम्ही""",1,1
"""@Shaikh_Mohsin12 तिथे नळाला तोट्या बसवणार नाहीत बे""",0,0
"""Bc... नाव लपवण्याची वार्ता कोण करतोय आबे""",1,1
"""अरे लेकर परिक्षा देणार नाहीत तर तुझ्या सारखे बनेल मुर्खा""",1,1
"""@abpmajhatv याची तर लायकी नाही बोलायची""",1,1
"""@BhavrePratiksha हो न.. बरोबर न...!!""",0,0
"""गरम पुच्ची चे पाणी काढले""",0,0
"""@BhatkhalkarA अतुल्या तुला शिव्या देत देतच जन्माला घातलं होतं कारे तुझ्या बापाने.""",1,1
"""नगर अर्बन बँक निवडणूक : चित्र स्पष्ट, तरीही टशन कायम...""",0,0
"""@Ravi_raisewords @BrotherToGod @Korde100 तो नेहमी तसंच करतो.""",0,0
@SAMBHAJ07645020 @PawarSpeaks तूझ्या साहेबाने अक्खा शेतकरी वर्ग भिकेला लावला...,1,1
@mechetandixit वसंतसैनिकांनी निवडून दिलेले दोन राष्ट्रपती - प्रतिभा पटेल...,1,1
@mukesh__96 दात काय काढतो झाट्या तुझ्यासाठीच आहे ते...,1,3
"@atma_confused माझा 7"" इंचाचा लांब जाड बुल्ला...",1,3
@bvpat2501 फारच गलिच्छ विचारांची पोट्टी दिसतेस तू...,1,1
@Vedashree_19 फ़क्त श्रीरामने डायरेक्ट बोलवल तर झक मारुन जावे लागेल...,1,1
